Item Name,Qty,Price (total) (USD),Item link,Notes
Cherry MX style switches,5,,,Part of BlareV2 Kit
Seeed XIAO ESP32C3,1,,,Part of BlareV2 Kit
Blank DSA caps,5,,,Part of BlareV2 Kit
2.25in TFT Screen,1,,,Part of BlareV2 Kit
Custom PCB,1,,,BlareV2 grant Made by thirdParty (JLCPCB)
3.3V Piezo Buzzer,,,,Part of BlareV2 Kit
3d printed enclosure,4,,,BlareV2 grant Made by Printing legion
2.54mm 8 Pin Male Header,1,,,Part of BlareV2 Kit
M3x16mm ,4,,,Part of BlareV2 Kit
M3x8mm ,4,,,Part of BlareV2 Kit
M3x5x4 Heatset Inserts,8,,,Part of BlareV2 Kit
 20cm Female-Female Jumper Wires,8,,,Part of BlareV2 Kit
